INFO  - 2019-04-24 21:08:11.470; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2019-04-24 21:08:11.473; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2019-04-24 21:08:11.474; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2019-04-24 21:08:11.475; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2019-04-24 21:08:11.476; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2019-04-24 21:08:11.484; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2019-04-24 21:08:11.486; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2019-04-24 21:08:11.486; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2019-04-24 21:08:11.488; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2019-04-24 21:08:11.488; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2019-04-24 21:08:11.489; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2019-04-24 21:08:11.496; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2019-04-24 21:08:11.496; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2019-04-24 21:08:11.497; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
